,about,abv,apparence_avg,apparence_med,aroma_avg,aroma_med,beer_style,beer_url,brewer,est_cal,ibu,name,overall,overall_reviews,overall_reviews_med,palate_avg,palate_med,photo_url,rating_num,score,style,taste_avg,taste_med
0,"Pink Lemonade is a collaborative beer by 2cabeças and Cervejaria Dádiva made specially for the 2016 edition of Repense Cerveja festival, produced by 2cabeças. This truly pink Berliner Weisse gets its color from massive amounts of raspberry and mulberry, and also counts with a touch of mint and lemon.",4.4%,3.6,3.5,7.1,7.0,Berliner Weisse,https://www.ratebeer.com/beer/2cabecas-cervejaria-d-adiva-pink-lemonade/476800/,2cabeças,132,5,2cabeças / Cervejaria Dádiva Pink Lemonade,78,14.3,15.0,3.5,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_476800",10,3.40/5,53,7.3,7.0
1,"Cabeçudo Wild IPA is a collaborative beer by 2cabeças, Experimento Beer and Verace made specially for the 2016 edition of Repense Cerveja festival, produced by 2cabeças. This is a white IPA 100% fermented with Brettanomyces in which a Brazilian fruit called coquinho azedo was added.",5.8%,3.3333333333333335,3.0,6.666666666666667,7.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/2cabecas-experimento-beer-verace-cabecudo-wild-ipa/476801/,2cabeças,174,50,2cabeças / Experimento Beer / Verace Cabeçudo Wild IPA,-,13.666666666666666,14.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_476801",3,3.12/5,-,7.0,7.0
2,Brewed with fleur de sel and pitanga (brazilian cherry),6.0%,2.9,3.0,6.0,6.0,Stout,https://www.ratebeer.com/beer/2cabecas-freigeist-rio-de-colonia/328948/,2cabeças,180,50,2cabeças / Freigeist Rio de Colônia,44,11.8,12.5,2.9,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_328948",23,3.12/5,27,6.0,6.0
3,"Colaborativa entre a Juan Caloto e a 2Cabeças, a La Noche de la Mamba Niegra é uma Dry Stout, leve acidez da fermentação lática e adição de framboesas frescas na maturação. Uma cerveja escura, leve, ácida e frutada. O Dry-hop de Simcoe confere uma complexidade adicional ao aroma dessa cerveja. Edição especial para o festival Repense Cerveja!",4.5%,2.0,2.0,4.0,4.0,Sour/Wild Ale,https://www.ratebeer.com/beer/2cabecas-juan-caloto-la-noche-de-la-mamba-niegra/505084/,2cabeças,135,31,2cabeças / Juan Caloto La Noche De La Mamba Niegra,-,8.0,8.0,2.0,2.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_505084",1,2.70/5,-,3.0,3.0
4,"A golden saison/farmhouse ale brewed with barley and wheat, saison yeast, citra hops and stair fruit. Saison dourada produzida com maltes de trigo e cevada, lúpulo citra e carambola.",6.0%,3.0,3.0,5.8,6.0,Saison,https://www.ratebeer.com/beer/2cabecas-stillwater-caramba/275868/,2cabeças,180,15,2cabeças / Stillwater Caramba,40,11.8,11.5,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_275868",29,3.06/5,12,5.7,6.0
5,"So you want a taste of Brazilian caipirinha? Fine, but forget the traditional triad of lemon, sugar cane and cachaca. 2cabeças brewed this Black Caipirinha to subvert tradition and show that the most emblematic drink of our country can also be tasted as a beer. Or better: as a black beer with some lemon and cachaca matured in Balsamo wood. Pairs well with some samba and a lot of happiness.",7.0%,3.5,3.5,7.166666666666667,7.0,Black IPA,https://www.ratebeer.com/beer/2cabecas-black-caipirinha/476799/,2cabeças,210,60,2cabeças Black Caipirinha,-,14.166666666666666,14.0,3.5,3.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_476799",6,3.30/5,-,7.0,7.0
6,"A hoppy session IPA, with light body. Dry hopping: Summit and Amarillo.",4.7%,3.0,3.0,5.6,5.5,Session IPA,https://www.ratebeer.com/beer/2cabecas-funk-ipa/259403/,2cabeças,141,45,2cabeças Funk IPA,47,11.6,11.5,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_259403",29,3.17/5,31,6.0,6.0
7,Our first beer released. Hi5 is a Black IPA with Simcoe hops!,6.2%,3.4,3.0,6.8,7.0,Black IPA,https://www.ratebeer.com/beer/2cabecas-hi5-black-ipa/195937/,2cabeças,186,62,2cabeças Hi5 Black IPA,70,13.8,14.0,3.2,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_195937",34,3.34/5,35,6.8,7.0
8,"An American IPA with Centennial hops. But, instead of dry hopping, we decided to add passion fruit in the end for aroma.",6.8%,3.1,3.0,6.7,7.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/2cabecas-maracujipa/195939/,2cabeças,204,75,2cabeças Maracujipa,60,13.2,14.0,3.1,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_195939",47,3.29/5,41,6.8,7.0
9,"Russian Imperial Stout with tonka beans, 10% ABV, 50 IBU",10.0%,3.5,3.5,8.0,8.0,Imperial Stout,https://www.ratebeer.com/beer/2cabecas-ponta-cabeca/584858/,2cabeças,300,-,2cabeças Ponta Cabeça,-,15.5,15.5,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_584858",2,3.26/5,-,8.0,8.0
10,"Cerveja colaborativa entre a Invicta e a 2cabeças. A Saison à Trois é uma cerveja artesanal, produzida com insumos de mesma origem que os utilizados em algumas das melhores cervejas do mundo. Não contém adjuntos nem conservantes. Foi inspirada pelas Farmhouse Ales do sul da Bélgica. Tem cor amarelo palha e leve turbidez, pois não é filtrada. É uma cerveja muito aromática, com corpo e teor alcólico leves, final seco e um bom toque de acidez, característico do estilo. A receita mistura maltes de cevada e trigo fermentada pela típica levedura belga. Para dar uma apimentada na relação, inserimos o lúpulo neozelandês Motueka e sementes de coentro.",5.8%,3.1,3.0,6.1,6.0,Saison,https://www.ratebeer.com/beer/2cabecas-saison-a-trois/223912/,2cabeças,174,30,2cabeças Saison à Trois,49,11.9,12.0,3.1,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_223912",32,3.20/5,28,5.7,6.0
11,"Berliner Weisse with tamarind, 4,4% ABV, 8 IBU",4.4%,3.5,3.5,8.0,8.0,Berliner Weisse,https://www.ratebeer.com/beer/2cabecas-via-lactos/584859/,2cabeças,132,-,2cabeças Via Lactos,-,16.5,16.5,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_584859",2,3.28/5,-,7.5,7.5
12,"Berliner Weisse with peach, mango, pineapple and a lot of hops",5.0%,4.0,4.0,8.0,8.0,Berliner Weisse,https://www.ratebeer.com/beer/2cabecas-yellow-tart/584860/,2cabeças,150,-,2cabeças Yellow Tart,-,15.0,15.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_584860",1,3.13/5,-,8.0,8.0
0,No description available,5.5%,4.0,4.0,8.0,8.0,Sour/Wild Ale,https://www.ratebeer.com/beer/3-cariocas-sournilla-passion-fruit/572098/,3 Cariocas,165,-,3 Cariocas Sournilla Passion Fruit,-,17.0,17.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_572098",Ratings,-/5,-,9.0,9.0
0,"Collaboration with 2cabeças This is an ironic beer, developed in partnership with 2cabeças. Irony (from the greek εἰρωνεία) is speech figure which is to say the opposite of what you think. It’s the art of making fun of someone or something and can be used in order to report, criticize and censor anything. #SQN (só que não) is the acronym used in the social media in Brazil that best represents this trick. A wine ... #SQN. A light beer ... #SQN. A special wheat beer ... #SQN. By our law, it’s not considered special beer due to the fact of being brewed with more than 25% of wheat. Besides the large amount of wheat, we also use a lot of american citrus hops.",9.8%,3.0,3.0,6.0,6.0,Wheat Ale,https://www.ratebeer.com/beer/3cariocas-sqn/363251/,3Cariocas,294,83,3Cariocas #SQN,-,12.0,12.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_363251",1,2.94/5,-,6.0,6.0
1,"Complex as the universe. Black as the darkness. Full-bodied as the land. Starry like heaven. This is the #TBT. ""Throwback Thursday"" is the term used on the internet to remember something from the past. We did #TBT to remind #SQN, our first collab with 2cabeças. We hope you use the hashtag whenever you drink this Oatmeal Imperial Stout, because it will take you to the moon and you will want to return there.",9.0%,,,,,Stout,https://www.ratebeer.com/beer/3cariocas-tbt/451597/,3Cariocas,270,60,3Cariocas #TBT,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_451597",Ratings,-/5,-,,
2,"We made a mess in the minds of those who like to follow patterns. We broke some more paradigms and developed a Belgian… Imperial… Black… IPA, which we decided to call in a more beautiful way, naming it as Belgo-Indian Strong Dark Ale. What for to follow just one style? We added extreme amounts of Columbus, Citra and Amarillo nonstop – mash hopping, first wort hopping, late hopping and two dry-hoppings – to reach the 113 IBU. Carafa III was the key to achieve the dark color without giving much of toast, plus a stupid amount of malts to achieve the 10% abv. And finally, we fermented it with a Belgian Strong Ale strain.",9.0%,,,,,Imperial IPA,https://www.ratebeer.com/beer/3cariocas-belgo-indian-strong-dark-ale-2015/374470/,3Cariocas,270,113,3Cariocas Belgo-Indian Strong Dark ale (2015),-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_374470",Ratings,-/5,-,,
3,"Another 3Cariocas beer honoring Rio. Cariocaholic is our conception that was born from the union and consolidation of two universes, the beer one and the carioca one. Drink local, be local. Support the small local breweries and by doing so, make yourself at home, be local. Nothing fairer than designing one more recipe that transforms this idealization and perception into a liquid form. The result is in this can, which translates the concept in a genuine way with its own simplicity. But don’t fool yourself, just because the beer has the same name, doesn’t mean it’s the same beer from the white can. The idea is precisely to create new beers that connects with this movement, regardless of the moment.",5.2%,,,,,Amber Ale,https://www.ratebeer.com/beer/3cariocas-cariocaholic-amber-ale/539928/,3Cariocas,156,30,3Cariocas cariocaholic (amber ale),-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_539928",Ratings,-/5,-,,
4,"Another 3Cariocas beer honoring Rio. Cariocaholic is our conception that was born from the union and consolidation of two universes, the beer one and the carioca one. Drink local, be local. Support the small local breweries and by doing so, make yourself at home, be local. Nothing fairer than designing one more recipe that transforms this idealization and perception into a liquid form. The result is in this can, which translates the concept in a genuine way with its own simplicity. But don’t fool yourself, just because the beer has the same name, doesn’t mean it’s the same beer from the white can. The idea is precisely to create new beers that connects with this movement, regardless of the moment.",5.2%,5.0,5.0,9.0,9.0,Amber Ale,https://www.ratebeer.com/beer/3cariocas-cariocaholic-amber-ale/539927/,3Cariocas,156,30,3Cariocas cariocaholic (amber ale),-,20.0,20.0,5.0,5.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_539927",Ratings,-/5,-,9.0,9.0
5,No description available,6.0%,3.5,3.5,6.5,6.5,American Pale Ale,https://www.ratebeer.com/beer/3cariocas-copacabana/375302/,3Cariocas,180,33,3Cariocas cOPAcabana,-,11.0,11.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_375302",2,2.93/5,-,5.5,5.5
6,"The Carioca Aqueduct, popularly known as Arcos da Lapa, built at the time of colonial Brazil in order to drive water from the Carioca River to solve the lack of water in the city, now conducts an American Pale Ale to quench the thirst of hopheads of Rio. LAPA is an APA loaded with soft flavours of tropical fruit and resinous aromas and brightly, passion fruit and mango citrus, balanced with a subtle presence of malt. It has a dry finish and smooth taste because the use of wheat. A recipe to honor a district famous for its bohemian and architecture.",5.7%,4.0,4.0,6.0,6.0,American Pale Ale,https://www.ratebeer.com/beer/3cariocas-lapa/417560/,3Cariocas,171,40,3Cariocas LAPA,-,17.0,17.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_417560",1,3.11/5,-,7.0,7.0
7,No description available,12.0%,,,,,Imperial Stout,https://www.ratebeer.com/beer/3cariocas-quebra-cabeca/539921/,3Cariocas,360,-,3Cariocas Quebra-Cabeça,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_539921",Ratings,-/5,-,,
8,"And we got to our first year of life. To celebrate this milestone, we will continue with our ideology of creativity and boldness, always seeking unique beers and unique moments. On the creative side, we made a mess in the minds of those who like to follow patterns. We broke some more paradigms and developed a Belgian... Imperial... Black... IPA, which we decided to call in a more beautiful way, naming it as Belgo-Indian Strong Dark Ale. What for to follow just one style? We added extreme amounts of Columbus, Citra and Amarillo nonstop - mash hopping, first wort hopping, late hopping and two dry-hoppings - to reach the 113 IBU. Carafa III was the key to achieve the dark color without giving much of toast, plus a stupid amount of malts to achieve the 10% abv. And finally, we fermented it with a Belgian Strong Ale strain. The daring side, we explored a new territory. We launched the first recipe of 3Cariocas Reserve which is our series of beers aged in wood. After all, every birthday should be celebrated with style. So we took the Belgo-Indian Strong Dark Ale and aged for three months in French oak barrels that once contained Scotch whiskey. This bottle is the mark of a new era of our brewery, our beers and most importantly, our enthusiasts. The anniversary is ours, but we would like to reciprocate the support given to 3Cariocas during this first year, presenting you with something completely unique. It is another step in our long journey to concquer the world Muahaha (evil laughter).",10.2%,3.0,3.0,7.0,7.0,Imperial IPA,https://www.ratebeer.com/beer/3cariocas-reserva-061114-whiskey-barrel-aged-2015/375301/,3Cariocas,306,113,3Cariocas Reserva 061114 (Whiskey Barrel Aged - 2015),-,15.0,15.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_375301",1,3.06/5,-,7.0,7.0
9,"Our American Wheat Wine, collab with 2cabeças, aged for 6 months in french oak barrels that previously contained whiskey.",11.1%,,,,,Wheat Ale,https://www.ratebeer.com/beer/3cariocas-reserva-120815-whiskey-barrel-aged-2016/451602/,3Cariocas,333,83,3Cariocas Reserva 120815 (Whiskey Barrel Aged - 2016),-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_451602",Ratings,-/5,-,,
10,"The french Charles Leblon was the one who named not only our beer but the neighborhood where once lived only a few fishermen after installing his farm in those lands. Not coincidentally, in the french region of Belgium, the Saisons were produced on the farms during the winter to be served to their workers in the summer. We are not belgian farmers, but we are “cariocas” who also decided to produce a refreshing beer with high carbonation, spicy and fruity. We went further and added mango, vanilla beans and white peppercorns. And we are going to brew Saison du Leblon whenever we want to, since Rio has no winter.",6.9%,3.0,3.0,6.333333333333333,6.0,Saison,https://www.ratebeer.com/beer/3cariocas-saison-du-leblon/351471/,3Cariocas,207,26,3Cariocas Saison du Leblon,-,12.0,12.0,3.3333333333333335,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_351471",3,2.99/5,-,6.0,6.0
11,"3Cariocas Session IPA nema was designed and developed for those who enjoy the city of Rio, from the recipe to its name. Following a US trend, it’s strongly hop-forward with a low alcohol content. Light, refreshing, easy to drink, but different from usual and with its own personality, keeping our essence. Perfect for getting together with friends after the beach during the warm days. Its appearance is golden and clear. The aroma has predominant notes of tropical fruits such as passion fruit and mango. On the palate, the dry body and the low alcohol content makes it light and refreshing. With a citric bitter very present remaining in the mouth, makes you want the next sip. Awards: • Platinum Medalist at the Mondial de la Bière Rio 2014",4.8%,3.6666666666666665,3.5,7.5,7.5,Session IPA,https://www.ratebeer.com/beer/3cariocas-session-ipa-nema/301832/,3Cariocas,144,42,3Cariocas Session IPA NEMA,-,15.5,15.5,3.8333333333333335,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_301832",5,3.26/5,-,7.166666666666667,7.0
